action,protocol,src-ip,dst-ip,src-port,dst-port,size,path
309,233,552,538,208,208,113,515
383,231,615,558,262,257,48,515
383,233,558,656,257,215,48,298
383,231,664,558,250,257,48,515
383,233,703,558,263,257,48,515
383,231,2186,2234,267,257,48,515
383,231,558,730,267,263,48,298
383,231,508,558,257,257,48,515
383,233,697,558,209,257,48,515
383,233,558,749,257,271,48,298
383,233,558,696,257,266,48,298
383,233,558,647,257,219,48,298
383,231,617,558,261,257,48,515
383,231,703,558,258,257,48,515
383,231,700,558,269,257,48,515
383,233,558,613,257,261,48,298
383,231,741,558,258,257,48,515
383,231,664,558,257,257,48,515
383,233,659,558,250,257,48,515
383,50,558,759,45,45,48,298
309,233,552,538,208,208,113,515
383,233,560,558,199,257,48,515
309,233,552,538,208,208,113,515
309,233,552,538,208,208,113,515
383,233,734,558,253,257,48,515
383,233,612,558,215,257,48,515
383,233,644,558,261,257,48,515
383,233,558,696,257,262,48,298
383,233,558,705,257,204,48,298
383,231,558,619,272,202,48,298
383,231,664,558,260,257,48,515
383,233,709,558,259,257,48,515
383,233,711,558,253,257,48,515
309,233,556,538,208,208,113,515
383,233,665,558,261,257,48,515
383,233,558,645,257,220,48,298
383,233,558,748,257,199,48,298
383,233,558,744,257,270,48,298
383,233,558,596,257,267,48,298
383,233,558,652,257,219,48,298
383,233,558,755,257,253,48,298
383,233,558,708,257,266,48,298
383,233,558,741,257,213,48,298
383,233,558,736,257,213,48,298
383,233,558,741,257,213,48,298
383,233,558,744,257,199,48,298
383,231,665,558,258,257,48,515
383,231,712,558,264,257,48,515
383,231,558,645,274,220,48,298
383,231,558,652,261,219,48,298
309,233,556,538,208,208,113,515
383,231,558,755,262,253,48,298
383,231,652,558,258,257,48,515
383,233,752,558,258,257,48,515
383,233,558,604,257,263,48,298
383,233,640,558,258,257,48,515
383,233,558,709,257,213,48,298
383,233,558,654,257,214,48,298
383,231,651,558,210,257,48,515
383,233,612,558,215,257,48,515
383,233,553,558,249,257,48,515
383,233,609,558,249,257,48,515
383,231,654,558,252,257,48,515
383,233,763,558,262,257,48,515
383,233,606,558,251,257,48,515
383,233,704,558,269,257,48,515
383,233,706,558,218,257,48,515
383,233,640,558,220,257,48,515
383,233,700,558,263,257,48,515
383,233,558,551,270,104,48,298
383,233,558,551,264,104,48,298
383,233,558,551,270,104,48,298
383,233,558,551,265,104,48,298
383,233,558,551,262,104,48,298
383,233,558,551,263,104,48,298
383,233,558,551,266,104,48,298
383,233,558,551,268,104,48,298
383,233,558,705,267,155,48,298
383,233,558,551,264,104,48,298
383,233,558,551,265,104,48,298
383,233,558,699,266,155,48,298
383,233,558,647,267,155,48,298
383,233,558,649,268,155,48,298
383,233,696,558,224,257,48,515
383,233,558,703,270,155,48,298
383,233,558,701,269,155,48,298
383,233,558,703,257,257,48,298
383,233,558,642,257,263,48,298
383,231,558,642,265,263,48,298
383,231,558,600,263,262,48,298
383,233,752,558,251,257,48,515
383,233,558,657,257,262,48,298
383,231,2326,2234,256,257,48,515
383,233,558,551,269,104,48,298
383,233,558,551,257,104,48,298
383,231,558,598,266,155,48,298
383,233,558,641,257,215,48,298
383,233,558,551,250,104,48,298
383,233,558,551,266,104,48,298
383,233,558,551,250,104,48,298
383,231,558,616,268,155,48,298
383,231,558,604,260,155,48,298
383,233,706,558,210,257,48,515
383,231,558,598,261,155,48,298
383,231,558,598,262,155,48,298
383,231,712,558,260,257,48,515
383,233,707,558,258,257,48,515
383,233,663,558,223,257,48,515
383,233,697,558,249,257,48,515
383,233,558,551,260,104,48,298
383,233,558,643,261,155,48,298
383,233,701,558,215,257,48,515
383,233,558,551,266,104,48,298
383,231,558,604,263,155,48,298
383,231,710,558,248,257,48,515
383,231,558,604,266,155,48,298
383,231,558,604,265,155,48,298
383,231,558,604,267,155,48,298
383,231,558,604,268,155,48,298
383,231,558,655,269,155,48,298
383,231,558,655,261,155,48,298
309,233,552,538,208,208,113,515
309,233,552,538,208,208,113,515
383,233,670,558,251,257,48,515
383,233,558,551,269,104,48,298
309,233,552,538,208,208,113,515
383,231,558,604,264,155,48,298
383,231,558,604,262,155,48,298
383,233,558,611,257,227,48,298
383,233,699,558,210,257,48,515
383,231,713,558,255,257,48,515
383,233,649,558,250,257,48,515
383,233,673,558,265,257,48,515
383,233,558,756,257,215,48,298
383,233,747,558,259,257,48,515
383,231,655,558,259,257,48,515
309,233,556,538,208,208,113,515
383,233,718,558,214,257,48,515
383,233,1779,1711,257,265,48,298
383,297,1779,1234,45,45,48,298
383,233,1779,1660,257,254,48,298
383,233,1779,1739,257,258,48,298
383,233,1779,1812,257,251,48,298
383,233,1779,1617,257,264,48,298
383,233,1779,1844,257,265,48,298
383,233,1779,1729,257,255,48,298
383,233,1779,1521,257,258,48,298
383,233,1779,1495,257,258,48,298
383,233,1779,1898,257,275,48,298
383,233,1779,1908,257,266,48,298
383,233,1779,1639,257,258,48,298
383,233,1779,1730,257,256,48,298
383,297,1708,1240,45,45,48,298
309,233,556,538,208,208,113,515
309,233,556,538,208,208,113,515
383,233,648,558,249,257,48,515
383,233,710,558,250,257,48,515
383,233,558,745,257,254,48,298
383,233,683,558,218,257,48,515
383,231,704,558,256,257,48,515
383,233,655,558,264,257,48,515
383,233,653,558,265,257,48,515
383,231,653,558,268,257,48,515
383,233,702,558,256,257,48,515
383,233,609,558,258,257,48,515
383,231,697,558,262,257,48,515
383,233,710,558,270,257,48,515
383,231,597,558,271,257,48,515
383,233,763,558,253,257,48,515
383,233,558,551,265,104,48,298
383,231,558,708,268,155,48,298
383,231,558,558,258,257,48,515
383,233,692,558,259,257,48,515
383,233,558,552,257,216,48,298
383,233,558,603,257,218,48,298
383,233,558,652,267,258,48,298
383,233,558,702,267,208,48,298
383,297,2386,2234,45,45,48,515
383,233,2234,2386,257,271,48,298
383,297,2386,2234,45,45,48,515
383,231,2234,2386,271,271,48,298
383,233,644,558,224,257,48,515
383,233,749,558,268,257,48,515
383,233,558,610,257,254,48,298
383,233,1779,1762,257,265,48,298
383,233,742,558,259,257,48,515
383,233,750,558,264,257,48,515
383,233,558,661,267,275,48,298
383,233,558,715,267,208,48,298
383,231,558,604,265,155,48,298
383,231,558,604,266,155,48,298
383,231,558,604,267,155,48,298
383,231,558,604,268,155,48,298
383,231,558,604,269,155,48,298
383,231,558,604,270,155,48,298
383,231,558,616,271,155,48,298
383,233,558,551,266,104,48,298
383,233,735,558,212,257,48,515
383,231,558,551,265,205,48,298
383,231,558,601,272,155,48,298
309,233,552,538,208,208,113,515
383,231,558,601,264,155,48,298
383,233,654,558,257,257,48,515
383,233,558,551,267,104,48,298
309,233,552,538,208,208,113,515
383,231,558,601,266,155,48,298
383,233,558,752,257,258,48,298
383,231,558,601,267,155,48,298
383,233,701,558,264,257,48,515
383,233,1708,575,159,160,48,298
309,233,552,538,208,208,113,515
383,297,1679,467,45,45,48,515
383,233,713,558,214,257,48,515
383,233,558,649,267,252,48,298
383,233,1779,2203,257,256,48,298
383,233,558,707,267,208,48,298
383,233,1779,2469,257,248,48,298
383,233,558,611,267,203,48,298
383,233,1779,2569,257,263,48,298
383,233,1779,2437,257,264,48,298
383,233,1779,2506,257,257,48,298
383,233,558,673,257,215,48,298
383,233,558,699,267,254,48,298
383,233,558,698,257,270,48,298
383,233,558,651,267,264,48,298
383,233,558,608,257,263,48,298
383,233,611,558,263,267,48,515
383,233,649,558,258,267,48,515
383,297,2215,2234,45,45,48,515
383,233,2234,2340,257,258,48,298
383,233,2234,2215,257,264,48,298
383,233,611,558,262,267,48,515
383,233,558,551,267,104,48,298
383,231,2234,2215,268,264,48,298
383,231,2234,2340,271,258,48,298
383,233,1779,2388,257,263,48,298
383,233,614,558,217,257,48,515
383,233,699,558,268,267,48,515
383,233,699,558,261,267,48,515
383,233,656,558,265,257,48,515
383,233,2234,2150,257,270,48,298
383,233,695,558,259,257,48,515
383,297,2215,2234,45,45,48,515
383,233,651,558,253,267,48,515
383,297,2330,2234,45,45,48,515
383,233,2234,2330,257,259,48,298
383,233,651,558,254,267,48,515
383,297,2150,2234,45,45,48,515
309,233,556,538,208,208,113,515
383,233,558,551,264,104,48,298
383,231,2234,2150,267,270,48,298
383,231,2234,2330,269,259,48,298
383,297,1779,1679,45,45,48,298
383,231,703,558,260,257,48,515
383,231,699,558,203,257,48,515
383,233,654,558,221,257,48,515
383,233,656,558,255,257,48,515
309,233,556,538,208,208,113,515
383,231,558,708,271,202,48,298
383,233,709,558,267,257,48,515
383,231,558,649,274,155,48,298
383,231,558,649,273,155,48,298
383,297,2330,2234,45,45,48,515
383,233,558,651,267,263,48,298
383,231,558,649,266,155,48,298
383,297,1679,1779,45,45,48,515
383,233,555,558,199,257,48,515
383,231,558,649,267,155,48,298
383,231,701,558,256,257,48,515
383,231,558,662,268,155,48,298
383,231,508,558,265,257,48,515
383,233,748,558,258,257,48,515
383,233,658,558,267,257,48,515
383,231,658,558,265,257,48,515
383,231,615,558,254,257,48,515
383,233,607,558,249,257,48,515
383,231,2186,2234,269,257,48,515
383,233,558,744,257,274,48,298
383,231,664,558,269,257,48,515
383,231,746,558,263,257,48,515
383,233,610,558,215,257,48,515
383,233,558,561,267,209,48,298
383,233,642,558,251,257,48,515
383,231,669,558,258,257,48,515
383,231,2458,2234,259,257,48,515
383,50,558,539,45,45,48,298
383,233,661,558,249,257,48,515
383,233,702,558,250,257,48,515
383,233,667,558,216,257,48,515
383,233,744,558,248,257,48,515
383,233,646,558,254,257,48,515
383,233,747,558,214,257,48,515
383,233,748,558,261,257,48,515
383,233,554,558,204,257,48,515
383,233,743,558,213,257,48,515
383,233,751,558,258,257,48,515
383,233,604,558,212,257,48,515
309,233,552,538,208,208,113,515
383,233,596,558,250,257,48,515
383,231,664,558,274,257,48,515
383,233,558,705,257,262,48,298
383,233,752,558,249,257,48,515
309,233,552,538,208,208,113,515
383,233,603,558,257,257,48,515
383,231,654,558,211,257,48,515
383,233,666,558,207,257,48,515
309,233,552,538,208,208,113,515
383,233,745,558,199,257,48,515
383,297,2234,2458,45,45,48,298
383,233,600,558,262,257,48,515
383,231,558,755,271,253,48,298
383,233,609,558,198,257,48,515
383,233,664,558,223,257,48,515
383,233,650,558,208,257,48,515
383,233,711,558,269,257,48,515
383,233,612,558,257,257,48,515
383,231,2190,2234,253,257,48,515
383,231,711,558,255,257,48,515
309,233,556,538,208,208,113,515
383,233,523,558,252,257,48,515
309,233,556,538,208,208,113,515
383,233,558,654,257,218,48,298
383,231,703,558,252,257,48,515
383,231,558,642,275,263,48,298
309,233,556,538,208,208,113,515
383,233,558,705,257,254,48,298
383,231,652,558,259,257,48,515
383,233,558,701,270,155,48,298
383,233,651,558,261,257,48,515
383,233,661,558,251,257,48,515
383,233,558,650,257,254,48,298
383,233,558,759,263,202,48,298
383,233,644,558,267,257,48,515
383,231,712,558,270,257,48,515
383,233,644,558,205,257,48,515
383,231,755,558,259,257,48,515
383,233,748,558,261,257,48,515
383,233,646,558,251,257,48,515
383,233,558,755,257,265,48,298
383,233,503,558,201,257,48,515
383,231,558,699,271,202,48,298
383,297,2326,2234,45,45,48,515
383,297,2234,2326,45,45,48,298
383,231,617,558,258,257,48,515
383,233,753,558,263,257,48,515
383,233,558,551,267,104,48,298
383,231,558,617,273,155,48,298
383,231,558,617,274,155,48,298
383,233,558,562,257,227,48,298
383,233,601,558,220,257,48,515
383,231,651,558,211,257,48,515
309,233,552,538,208,208,113,515
383,231,655,558,266,257,48,515
383,231,558,619,276,202,48,298
309,233,552,538,208,208,113,515
383,233,656,558,259,257,48,515
383,231,558,645,260,220,48,298
383,233,696,558,259,257,48,515
383,233,703,558,218,257,48,515
309,233,552,538,208,208,113,515
383,233,697,558,216,257,48,515
383,233,656,558,249,257,48,515
383,233,696,558,208,257,48,515
383,233,708,558,208,257,48,515
383,233,663,558,257,257,48,515
309,233,556,538,208,208,113,515
383,233,558,649,257,254,48,298
383,233,690,558,213,257,48,515
383,233,698,558,267,257,48,515
309,233,556,538,208,208,113,515
383,233,702,558,202,257,48,515
309,233,556,538,208,208,113,515
383,233,558,708,257,276,48,298
383,233,558,664,257,246,48,298
383,233,558,604,257,199,48,298
383,297,1708,1234,45,45,48,298
383,233,546,558,199,257,48,515
383,233,663,558,204,257,48,515
383,233,701,558,215,257,48,515
383,233,558,551,272,104,48,298
383,233,558,647,257,219,48,298
383,231,558,708,265,155,48,298
383,231,597,558,267,257,48,515
383,233,558,708,257,245,48,298
383,233,598,558,251,257,48,515
383,233,705,558,205,257,48,515
383,297,1779,1192,45,45,48,298
383,233,558,709,257,213,48,298
383,233,558,749,257,271,48,298
383,231,558,558,261,257,48,515
383,231,669,558,261,257,48,515
383,231,697,558,255,257,48,515
383,233,700,558,257,257,48,515
383,233,496,558,255,257,48,515
383,233,652,558,252,257,48,515
383,231,651,558,212,257,48,515
383,233,705,558,217,257,48,515
383,233,656,558,251,257,48,515
383,233,558,652,257,219,48,298
383,233,558,741,257,213,48,298
383,233,558,499,257,269,48,298
383,233,558,645,257,220,48,298
383,233,657,558,205,257,48,515
383,233,657,558,249,257,48,515
383,233,537,558,217,257,48,515
309,233,552,538,208,208,113,515
383,233,603,558,262,257,48,515
383,233,1708,575,159,160,48,298
383,233,663,558,211,257,48,515
383,231,558,652,267,219,48,298
383,233,563,558,263,257,48,515
309,233,552,538,208,208,113,515
383,231,563,558,260,257,48,515
309,233,552,538,208,208,113,515
383,233,558,744,257,199,48,298
383,231,711,558,254,257,48,515
383,233,558,741,257,213,48,298
383,231,652,558,264,257,48,515
383,233,657,558,265,257,48,515
383,233,665,558,261,257,48,515
383,233,597,558,266,257,48,515
383,233,658,558,205,257,48,515
383,233,558,664,257,268,48,298
383,231,665,558,269,257,48,515
309,233,556,538,208,208,113,515
309,233,556,538,208,208,113,515
383,233,558,657,257,215,48,298
383,233,558,654,257,214,48,298
383,231,701,558,266,257,48,515
383,231,558,643,263,248,48,298
383,231,558,657,262,215,48,298
309,233,556,538,208,208,113,515
383,233,558,744,257,270,48,298
383,233,558,736,257,213,48,298
383,231,508,558,254,257,48,515
383,50,558,539,45,45,48,298
309,233,552,538,208,208,150,515
383,233,758,558,247,257,48,515
383,231,741,558,262,257,48,515
383,231,758,558,263,257,48,515
309,233,552,538,208,208,150,515
309,233,552,538,208,208,113,515
383,231,615,558,251,257,48,515
383,233,612,558,270,257,48,515
383,233,708,558,203,257,48,515
309,233,552,538,208,208,113,515
383,233,642,558,265,257,48,515
383,233,707,558,275,257,48,515
383,233,558,701,257,214,48,298
383,233,558,703,257,257,48,298
383,233,704,558,251,257,48,515
383,231,664,558,252,257,48,515
383,297,1708,521,45,45,48,298
383,231,2186,2234,274,257,48,515
309,233,552,538,208,208,113,515
383,233,558,551,264,104,48,298
383,233,558,551,259,104,48,298
383,233,558,551,257,104,48,298
383,233,558,551,256,104,48,298
383,233,654,558,261,257,48,515
383,233,558,759,257,202,48,298
383,233,1708,618,208,208,48,298
383,233,558,538,208,208,48,298
383,233,558,538,208,208,48,515
383,233,1779,618,208,208,48,298
383,233,1779,618,208,208,48,515
383,233,558,551,266,104,48,298
383,233,558,551,263,104,48,298
383,233,558,551,250,104,48,298
383,233,558,703,251,155,48,298
383,233,709,558,259,257,48,515
383,233,1779,1730,257,256,48,298
383,233,558,649,252,155,48,298
383,233,558,647,253,155,48,298
383,233,558,699,254,155,48,298
383,233,558,701,255,155,48,298
383,233,558,705,256,155,48,298
383,233,558,705,257,155,48,298
383,231,704,558,260,257,48,515
383,233,656,558,202,257,48,515
383,231,558,703,269,155,48,298
383,233,558,705,259,155,48,298
383,231,558,703,270,155,48,298
383,233,549,558,214,257,48,515
383,233,654,558,227,257,48,515
383,233,558,551,256,104,48,298
383,233,701,558,259,257,48,515
383,233,558,646,257,155,48,298
383,231,558,705,265,155,48,298
383,231,558,651,267,155,48,298
383,231,558,703,268,155,48,298
383,231,558,690,271,104,48,298
383,231,558,701,263,155,48,298
383,231,558,702,266,155,48,298
383,231,558,701,264,155,48,298
383,231,558,646,265,155,48,298
383,233,558,705,257,222,48,298
383,233,664,558,202,257,48,515
383,231,664,558,265,257,48,515
383,233,600,558,261,257,48,515
383,233,558,506,257,265,48,298
